optimizer: D:\EDA\ICCAD2\FloorSet\iccad2026contest\sol\eazyver2\my_optimizer_mib_square.py
tests: 100
feasible: 100
plain_avg_cost: 2.494253
contest_total_score: 3.411365
delta(total - mean): 0.917112

Per-case:
test_id blocks feasible cost norm_weight weighted_contrib hpwl_gap area_gap v_rel
 29  50 1   1.363341   0.00000000     0.00000000  0.733883  0.156412  0.131579
 28  49 1   1.952314   0.00000000     0.00000000  1.985208  0.392011  0.121212
 27  48 1   1.932991   0.00000000     0.00000000  1.249064  0.202191  0.230769
 26  47 1   1.385553   0.00000000     0.00000000  0.621793  0.187869  0.171429
 25  46 1   2.140211   0.00000000     0.00000000  1.104969  0.438250  0.205882
 24  45 1   1.736361   0.00000000     0.00000000  1.050892  0.361671  0.178571
 23  44 1   1.504528   0.00000000     0.00000000  0.652884  0.301534  0.187500
 22  43 1   1.368280   0.00000000     0.00000000  0.657051  0.239163  0.142857
 21  42 1   2.003712   0.00000000     0.00000000  0.830330  0.381716  0.176471
 20  41 1   3.507690   0.00000000     0.00000000  2.798091  0.717205  0.187500
 19  40 1   1.385255   0.00000000     0.00000000  1.016948  0.264242  0.093750
 18  39 1   1.396337   0.00000000     0.00000000  1.239703  0.251831  0.066667
 17  38 1   1.354001   0.00000000     0.00000000  0.877132  0.158628  0.121212
 16  37 1   1.942252   0.00000000     0.00000000  1.007800  0.668495  0.205882
 15  36 1   1.488115   0.00000000     0.00000000  0.747960  0.174227  0.187500
 14  35 1   1.863081   0.00000000     0.00000000  0.869659  0.358958  0.250000
 13  34 1   1.320133   0.00000000     0.00000000  0.850642  0.187142  0.103448
 12  33 1   1.715220   0.00000000     0.00000000  1.294947  0.435903  0.136364
 11  32 1   1.717103   0.00000000     0.00000000  1.081383  0.351217  0.178571
 10  31 1   1.417629   0.00000000     0.00000000  0.515119  0.387097  0.166667
  9  30 1   1.691708   0.00000000     0.00000000  0.394749  0.334789  0.285714
  8  29 1   1.356693   0.00000000     0.00000000  0.599047  0.113070  0.178571
  7  28 1   1.397442   0.00000000     0.00000000  0.411935  0.200344  0.212121
  6  27 1   1.462237   0.00000000     0.00000000  0.473000  0.248595  0.214286
  5  26 1   1.338030   0.00000000     0.00000000  0.674818  0.270306  0.130435
  4  25 1   1.514591   0.00000000     0.00000000  0.818434  0.282286  0.166667
  3  24 1   1.643448   0.00000000     0.00000000  0.750603  0.445727  0.192308
  2  23 1   2.273652   0.00000000     0.00000000  1.881836  0.603616  0.185185
  1  22 1   1.441361   0.00000000     0.00000000  0.633199  0.428940  0.148148
  0  21 1   1.628215   0.00000000     0.00000000  1.124652  0.459196  0.130435

Top 10 weighted contributors:
 1. test_id= 99, blocks=120, cost=3.524618, weight=0.63212056, contrib=2.22798380
 2. test_id= 98, blocks=119, cost=3.520642, weight=0.23254416, contrib=0.81870480
 3. test_id= 97, blocks=118, cost=2.517650, weight=0.08554821, contrib=0.21538045
 4. test_id= 96, blocks=117, cost=2.731765, weight=0.03147143, contrib=0.08597255
 5. test_id= 95, blocks=116, cost=3.586980, weight=0.01157769, contrib=0.04152895
 6. test_id= 94, blocks=115, cost=3.073722, weight=0.00425919, contrib=0.01309158
 7. test_id= 93, blocks=114, cost=3.591555, weight=0.00156687, contrib=0.00562750
 8. test_id= 92, blocks=113, cost=3.683576, weight=0.00057642, contrib=0.00212328
 9. test_id= 91, blocks=112, cost=1.799025, weight=0.00021205, contrib=0.00038149
10. test_id= 90, blocks=111, cost=4.077005, weight=0.00007801, contrib=0.00031805
